school_name,school_about,school_location,country,type,total_student,international_student,accomodation_feature,work_permit_feature,program_cooporation,work_while_study,condition_offer_letter,library,founded,program_name,description,duration,grade_score,overall_band,pte_score, tofel_point,ielts_listening,ielts_speaking,ielts_writting,ielts_reading,new_stream,stream_id,other_fees,application_fee,tution_fee_per_semester,cost_of_living,currency,acceptance_letter,intake_id,visa_processing_days,process_days,program_level,other_comment,Foundation Fee,acceptable_band,module,english_language,program_sort_order,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,Animation ,"This three-year Ontario College Advanced Diploma program provides students with training in traditional, 3D, 2D tradigital and video game animation techniques. The program of study includes animation, life drawing and design courses focusing on all facets of animation including performance-based character animation, location design, character design, gestures and anatomy studies.",6 sem,60,6,,,6,6,6,6,6,3,2000,,3070,11000,CAD,7 days,"1,5,9",,3 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,Architectural Technician ,"This two-year Ontario College Diploma program prepares students for a career in construction document preparation in the construction and architectural fields. The curriculum focuses on working drawings, construction methods and materials, building science and computer-assisted design and drafting.",6 sem,60,6,,,6,6,6,6,1,3,2000,,3070,11000,CAD,7 days,"1,5,9",,3 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,Baking and Pastry Arts Management,This two-year Ontario College Diploma program prepares students for entry into a broad range of careers in the baking and pastry industry with confidence and practical experience. Aspiring bakers and patissiers obtain world-class experience working side-by-side with internationally-trained industry professionals developing a balance of contemporary and traditional techniques as well as healthy alternatives in the baking and pastry field while also focusing on the core skills necessary for success in this evolving industry.,4 sem ,60,6,,,6,6,6,6,6,3,2000,,2738,11000,CAD,7 days,"1,5,9",,2 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,Business,"This two-year Ontario College Diploma provides students with the business management concepts and entrepreneurship principles required for a successful career in the management or ownership of a small-to medium-sized business (under 500 employees). Entrepreneurship is the foundation of the Canadian economy and is growing and changing at an unprecedented rate, creating a demand for highly skilled and knowledgeable business professionals.",4 sem ,60,6,,,6,6,6,6,7,3,2000,,2738,11000,CAD,7 days,"1,5,9",,2 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,Business - Management & Entrepreneurship,"This two-year Ontario College Diploma provides students with the business management concepts and entrepreneurship principles required for a successful career in the management or ownership of a small-to medium-sized business (under 500 employees). Entrepreneurship is the foundation of the Canadian economy and is growing and changing at an unprecedented rate, creating a demand for highly skilled and knowledgeable business professionals.",4 sem ,60,6,,,6,6,6,6,"7,8,10",3,2000,,2738,11000,CAD,7 days,"1,5,9",,2 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,Business Administration ,"The program provides students with the business knowledge and employable skills required for a rewarding career. In the six levels of study, students gain a solid foundation in all of the business functions, as well as the communication, planning, teamwork and analytical skills that are in high demand by the business community. Through an active advisory committee of business professionals and close relationships with employers, the program is continuously updated to meet the current demands of today`s organizations.",6 sem,60,6,,,6,6,6,6,"7,8,10",3,2000,,3070,11000,CAD,7 days,"1,5,9",,3 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,,1967,Business Administration - Supply Chain and Operations Management,"Algonquin College offers seven Business Administration programs. In each of the 3-year Advanced Diploma programs you’ll start by building a strong foundation in business fundamentals and then go on to develop specialized knowledge and skills in your major area of study. You’ll also develop the communication, planning, teamwork and analytical skills that you need to succeed in your career.",6 sem,60,6,,,6,6,6,6,"7,8,10",3,2000,,3070,11000,CAD,7 days,"1,5,9",,3 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,,1967,Cabinetmaking And Furniture Technician,"This two-year Ontario College Diploma program delivered in a compressed format over 45 weeks prepares students to work in the cabinetmaking and woodworking industry, producing both traditional and contemporary furniture and commercial cabinetry. Cabinet and furniture technicians design and build components to industry specifications using hand and power tools.",6 sem,60,6,,,6,6,6,6,3,2,2000,,3070,11000,CAD,7 days,"1,5,9",,3 year,"2,1",,,,,,1,,,,,,,,,
Algonquin  College,"Algonquin College of Applied Arts and Technology is a publicly funded English-language college and member of Polytechnics Canada located in Ottawa, Ontario, Canada","1385 Woodroffe Ave, Nepean, ON K2G 1V8, Canada",Canada,"1,5",12000,2000,yes,yes,yes,yes,yes,yes,1967,Community and Justice Services,"This two-year Ontario College Diploma program prepares students for employment in a variety of careers in the community and justice services field. Students are trained in the legal and theoretical aspects of behaviour (including criminal behaviour), safety and security measures and techniques, and interviewing and intervention skills. Students also study topics including addictions, mental illness, group dynamics, behaviour management, communications, special populations (such as Aboriginal and female offenders) and the role of victims in the criminal justice system.",4 sem ,60,6,,,6,6,6,6,"11,12,13",24,2000,,2738,11000,CAD,7 days,"1,5,9",,2 year,"2,1",,,,,,1,,,,,,,,,
